id,address,city,city_id,country_id,latitude,locality,locality_verbose,longitude,zipcode
6316125,"V. Corporate Center, Soliman Street, Salcedo Village, Makati City",Makati City,63,162,14.56031257,Salcedo Village,"Salcedo Village, Makati City",121.0246379,
18409457,"Level 3, Greenbelt 3, Ayala Center, Greenbelt, Makati City",Makati City,63,162,14.55213741,"Greenbelt 3, San Lorenzo, Makati City","Greenbelt 3, San Lorenzo, Makati City, Makati City",121.0213247,
6307689,"5012 P. Burgos Street, Poblacion, Makati City 1210 1210",Makati City,63,162,14.56314357,Poblacion,"Poblacion, Makati City",121.0298005,1210
18581637,"CKB Centre, Tomas Morato Avenue Corner Scout Rallos Street, Laging Handa, Quezon City",Quezon City,63,162,14.63371254,Tomas Morato,"Tomas Morato, Quezon City",121.0350258,
6315438,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",Taguig City,63,162,14.54623626,"SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0543645,
6300010,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",Pasay City,63,162,14.55325571,"Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, CCP Complex, Pasay City, Pasay City",120.9815104,
18655016,"Ground Floor, Entertainment Mall, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City",Pasay City,63,162,14.53617368,"Entertainment Mall, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City","Entertainment Mall, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City",120.9803946,
6304287,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",Makati City,63,162,14.553708,"Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,
18451647,"Ground Floor, 140 Maginhawa Street, Sikatuna Village, Quezon City",Quezon City,63,162,14.64166961,Sikatuna Village,"Sikatuna Village, Quezon City",121.0611029,
6309903,"75 East Capitol Drive, Kapitolyo, Pasig City",Pasig City,63,162,14.56761486,Kapitolyo,"Kapitolyo, Pasig City",121.0579221,
6304833,"Level 1, Greenbelt 2, Ayala Center, Greenbelt, Makati City",Makati City,63,162,14.55192,"Greenbelt 2, San Lorenzo, Makati City","Greenbelt 2, San Lorenzo, Makati City, Makati City",121.020485,
6318506,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,63,162,14.58387256,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056168,
18165419,"100 Don Carlos Palanca Street, Legaspi Village, Makati City",Makati City,63,162,14.55575059,Legaspi Village,"Legaspi Village, Makati City",121.019528,
6314302,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,63,162,14.58438588,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.0569834,
6309831,"Molito Commercial Complex, Alabang, Muntinlupa City",Muntinlupa City,63,162,14.42492884,"Molito Commercial Complex, Alabang, Mutinlupa City","Molito Commercial Complex, Alabang, Mutinlupa City, Muntinlupa City",121.0268105,
18189371,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,63,162,14.58372265,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.0561609,
18506282,"Ground Floor, Ayala Malls The 30th, Meralco Avenue, Ugong, Pasig City",Pasig City,63,162,14.580743,"Ayala Malls The 30th, Ugong, Pasig City","Ayala Malls The 30th, Ugong, Pasig City, Pasig City",121.06406,
6314243,"78 Scout Gandia Street, Laging Handa, Tomas Morato, Quezon City",Quezon City,63,162,14.63177359,Tomas Morato,"Tomas Morato, Quezon City",121.0332505,
6314111,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,63,162,14.58324438,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.0559561,
6318213,"Aguinaldo Highway, Tagaytay City",Tagaytay City,63,162,14.10243781,Tagaytay City,"Tagaytay City, Tagaytay City",120.9512068,
18695427,"Icon Plaza, 26th Street, Bonifacio Global City, Taguig City",Taguig City,63,162,14.548209,Bonifacio Global City,"Bonifacio Global City, Taguig City",121.047874,
6314605,"17 J. Abad Santos Drive, Little Baguio, San Juan City",San Juan City,63,162,14.59886922,Little Baguio,"Little Baguio, San Juan City",121.038174,
6301290,"Building B, SM by the Bay, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City",Pasay City,63,162,14.54060885,"SM by the Bay, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City",120.9793924,
6309635,"Ground Floor, City Golf Plaza, Julia Vargas Avenue, Ugong, Pasig City",Pasig City,63,162,14.58469121,"City Golf Plaza, Ugong, Pasig City","City Golf Plaza, Ugong, Pasig City, Pasig City",121.0674218,
6311506,"64 Calderon Street, Calumpang, Marikina City",Marikina City,63,162,14.62167405,Calumpang,"Calumpang, Marikina City",121.0954493,
18382308,"Bonifacio High Street Central, 7th Avenue, Bonifacio Global City, Taguig City",Taguig City,63,162,14.5513167,"Bonifacio High Street Central, Bonifacio Global City, Taguig City","Bonifacio High Street Central, Bonifacio Global City, Taguig City, Taguig City",121.0489159,
6318433,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",Quezon City,63,162,14.64970747,"UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.0755737,
6314240,"105-R Mother Ignacia Corner Sct. Madrinan Street, South Triangle, Tomas Morato, Quezon City 1100",Quezon City,63,162,14.63742073,Tomas Morato,"Tomas Morato, Quezon City",121.0310125,1100
18358376,"Upper Ground Floor, Main Building, SM City North EDSA, Bago Bantay, Quezon City",Quezon City,63,162,14.65625297,"SM City North EDSA, Bago Bantay, Quezon City","SM City North EDSA, Bago Bantay, Quezon City, Quezon City",121.0312395,
6316359,"32nd Floor, City Garden Grand Hotel, Makati Corner Kalayaan Avenue, Poblacion, Makati City",Makati City,63,162,14.56470897,"City Garden Grand Hotel, Poblacion, Makati City","City Garden Grand Hotel, Poblacion, Makati City, Makati City",121.0292574,
6311148,"78 N. Roxas Street, Santo Domingo, Quezon City",Quezon City,63,162,14.62739768,Banawe,"Banawe, Quezon City",121.0052566,
18476113,"Second Floor, BLC Building, Banawe Corner Don Manuel Agregado Street, Banawe, Quezon City",Quezon City,63,162,14.63106899,Banawe,"Banawe, Quezon City",121.0024648,
6310470,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",San Juan City,63,162,14.59342291,Addition Hills,"Addition Hills, San Juan City",121.0337427,
6316962,"Second Floor, 238 Center, Banawe Corner Panalturan Street, Banawe, Quezon City",Quezon City,63,162,14.643299,"238 Center, Banawe, Quezon City","238 Center, Banawe, Quezon City, Quezon City",121.000505,
6305259,"Eastwood Citywalk 1, Libis, Quezon City",Quezon City,63,162,14.60857529,"Eastwood Citywalk 1, Libis, Quezon City","Eastwood Citywalk 1, Libis, Quezon City, Quezon City",121.0805405,
6310386,"5782 Felipe Street, Poblacion, Makati City",Makati City,63,162,14.56274183,Poblacion,"Poblacion, Makati City",121.0307081,
6308700,"Upper Ground Floor, Main Building, SM City North EDSA, Bago Bantay, Quezon City",Quezon City,63,162,14.65598374,"SM City North EDSA, Bago Bantay, Quezon City","SM City North EDSA, Bago Bantay, Quezon City, Quezon City",121.0324123,
18506264,"Second Floor, 170 Tomas Morato Corner Don Roces Avenue, Tomas Morato, Quezon City",Quezon City,63,162,14.62856393,Tomas Morato,"Tomas Morato, Quezon City",121.0341749,
6300011,"The Manila Hotel, One Rizal Park, Ermita, Manila 0913",Manila,63,162,14.58286377,"Manila Hotel, Ermita, Manila","Manila Hotel, Ermita, Manila, Manila",120.9748695,913
6300781,"Building K, SM by the Bay, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City",Pasay City,63,162,14.53176309,"SM by the Bay, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City",120.9794437,
18549676,"1720 A. Mabini Corner Alonzo Street, Malate, Manila",Manila,63,162,14.57139133,Malate,"Malate, Manila",120.9842687,
6314987,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Pasig City,63,162,14.57172199,Kapitolyo,"Kapitolyo, Pasig City",121.0566089,
6301688,"Second Floor, Lucky Chinatown Mall, Binondo, Manila",Manila,63,162,14.60343453,"Lucky Chinatown Mall, Binondo, Manila","Lucky Chinatown Mall, Binondo, Manila, Manila",120.9737484,
6315846,"Food Hall, Fifth Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,63,162,14.58324308,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.0559544,
6314542,"Nielson Tower, Ayala Triangle Gardens, Salcedo Village, Makati City",Makati City,63,162,14.555908,"Ayala Triangle Gardens, Salcedo Village, Makati City","Ayala Triangle Gardens, Salcedo Village, Makati City, Makati City",121.024509,
6313582,"1st Street, Kapitolyo, Pasig City",Pasig City,63,162,14.57392171,Kapitolyo,"Kapitolyo, Pasig City",121.060598,
18280299,"113 Mother Ignacia Avenue, South Triangle, Tomas Morato, Quezon City 1103",Quezon City,63,162,14.63814607,Tomas Morato,"Tomas Morato, Quezon City",121.0321428,1103
18558936,"B7, Bonifacio High Street, Lane P, Bonifacio Global City, Taguig City",Taguig City,63,162,14.55011954,"Bonifacio High Street, Bonifacio Global City, Taguig City","Bonifacio High Street, Bonifacio Global City, Taguig City, Taguig City",121.0527901,
6301730,"C2, Bonifacio High Street Central, 7th Avenue, Bonifacio Global City, Taguig City",Taguig City,63,162,14.550889,"Bonifacio High Street Central, Bonifacio Global City, Taguig City","Bonifacio High Street Central, Bonifacio Global City, Taguig City, Taguig City",121.048952,
